Title and Code,Percent Men,Percent Women,Non-binary,Other gender,Unknown or Choose Not to Disclose,count,Median Salary
ASSOC SUPVR OF SCHL SEC (MGRL) (6082A),0.4,0.6,0,0,0,5,111283
CERTIFIED IT ADMINISTRATOR (13652),0.92,0.08,0,0,0,38,110327
RADIO REPAIR MECHANIC (90733),1,0,0,0,0,86,110058.48
POLICE OFFICER D/A DETECTIVE 2 (7021B),0.83,0.17,0,0,0,833,109360
SERGEANT (RECURRING NIGHT SHIF (70235),0.84,0.16,0,0,0,4040,109360
ELECTRICIAN (91717),1,0,0,0,0,28,109090.17
CERT IT ADMINISTRATOR (DB) (13644),0.71,0.29,0,0,0,7,105332
ADMINISTRATIVE STAFF ANALYST (10020),0.15,0.85,0,0,0,13,104407
SHEET METAL WORKER (92340),1,0,0,0,0,6,102494.7
COMPUTER SPECIALIST (SOFTWARE) (13632),0.8,0.2,0,0,0,61,101722
STEAM FITTER (91925),1,0,0,0,0,6,100485
POLICE OFFICER DA DETECTIVE 3 (7021A),0.85,0.15,0,0,0,3486,97324
"POLICE OFFICER, DET. SPECIALIS (70210)",0.83,0.17,0,0,0,948,97324
PLUMBER (91915),1,0,0,0,0,17,96447.33
THERMOSTAT REPAIRER (91940),1,0,0,0,0,7,96447.33
ADMINISTRATIVE PUBLIC INFORMAT (10033),0.73,0.27,0,0,0,11,95729
CARPENTER (92005),1,0,0,0,0,20,95040.54
AGENCY ATTORNEY (30087),0.49,0.51,0,0,0,76,92970.5
AUTO MECHANIC (92510),0.99,0.01,0,0,0,179,90619.2
AUTO MECHANIC (DIESEL) (92511),1,0,0,0,0,9,90619.2
ADMINISTRATIVE STAFF ANALYST (1002A),0.15,0.84,0,0,0.02,55,90459
INTELLIGENCE RESEARCH SPECIALI (31170),0.36,0.64,0,0,0,33,90236
CITY RESEARCH SCIENTIST (21744),0.42,0.58,0,0,0,19,86830
ADM MANAGER-NON-MGRL FRM Ml/M2 (1002C),0.03,0.97,0,0,0,35,85961
POLICE OFFICER (RECURRING NIGHT) (70210),0.79,0.21,0,0,0,23767,85292
PRINTING PRESS OPERATOR (92123),1,0,0,0,0,16,85127.76
CASE MANAGEMENT NURSE (POLICE (50958),0.17,0.83,0,0,0,23,83286
TELECOMMUNICATIONS ASSOCIATE (20246),1,0,0,0,0,11,82985
COMPUTER ASSOC (SOFTWARE) (13631),0.84,0.16,0,0,0,31,82601
CRIMINALIST (21849),0.27,0.73,0,0,0,230,82196
ADM PROC ANAL-NM FRM Ml-3 (8297A),0.53,0.47,0,0,0,17,80565
ASSOCIATE STAFF ANALYST (12627),0.34,0.64,0,0,0.02,47,80000
MANAGEMENT AUDITOR (40502),0.37,0.63,0,0,0,19,78594
PAINTER (91830),1,0,0,0,0,12,76350.33
PSYCHOLOGIST (52110),0.27,0.73,0,0,0,22,75197
ASSOCIATE SUPERVISOR OF SCHOOL (60821),0.38,0.62,0,0,0,39,74747
SUPERVISOR OF SCHOOL SECURITY (60820),0.38,0.62,0,0,0,119,70419
ADMINISTRATIVE TRAFFIC ENFORCE (10042),0.68,0.32,0,0,0,28,69904.5
PRINCIPAL POLICE COMMUNICATION (71014),0.12,0.88,0,0,0,66,69487
COMPUTER ASSOCIATE (TECH SUPP) (13611),0.71,0.29,0,0,0,7,68770
SUPERVISING POLICE COMMUNICATIONS (71013),0.13,0.87,0,0,0,182,68588
COMPUTER ASSOC (OPERATIONS) (13621),0.87,0.13,0,0,0,75,68457
GRAPHIC ARTIST (91415),0.6,0.4,0,0,0,10,67665
PROCUREMENT ANALYST (12158),0.2,0.8,0,0,0,15,64564
ACCOUNTANT (40510),0.44,0.56,0,0,0,25,64017
AUTO BODY WORKER (92501),1,0,0,0,0,21,63242
MAINTENANCE WORKER (90698),0.96,0.04,0,0,0,27,63162
ASSOCIATE INVESTIGATOR (31121),0.03,0.97,0,0,0,37,62858
AGENCY ATTORNEY INTERNE (30086),0.6,0.4,0,0,0,5,62397
COMMUNITY COORDINATOR (56058),0.33,0.67,0,0,0,27,62215
STAFF ANALYST (12626),0.44,0.56,0,0,0,41,62197
PRINCIPAL ADMINISTRATIVE ASSOC (10124),0.05,0.95,0,0,0,288,62093.5
FITNESS INSTRUCTOR (51225),0.73,0.27,0,0,0,15,61945
SENIOR PHOTOGRAPHER (90635),0.38,0.62,0,0,0,8,58922.5
ASSOCIATE PARKING CONTROL SPEC (41122),0.8,0.2,0,0,0,5,58428
MOTOR VEHICLE SUPERVISOR (91232),0.8,0.2,0,0,0,5,57976
PRINCIPAL Fl NGERPRINT TECHNICI (71165),0.4,0.6,0,0,0,5,57439
EVIDENCE AND PROPERTY CONTROL (71022),0.45,0.55,0,0,0.01,185,56330
CRIME ANALYST (31175),0.37,0.63,0,0,0,81,54786
BOOKKEEPER (40526),0.27,0.73,0,0,0,48,54514.5
SENIOR POLICE ADMINISTRATIVE AIDE (10147),0.05,0.95,0,0,0,795,54118
POLICE COMMUNICATIONS TECHNICIAN (71012),0.14,0.86,0,0,0,1367,53251
PHOTOGRAPHER (90610),0.78,0.22,0,0,0,18,53124
SUPERVISOR OF STOCK WORKERS (12202),1,0,0,0,0,10,52042.5
INVESTIGATOR (31105),0.07,0.93,0,0,0,42,51113
SECRETARY (10252),0,1,0,0,0,17,50969
ASSOCIATE TRAFFIC ENFORCEMENT (71652),0.51,0.49,0,0,0,397,50573
MOTOR VEHICLE OPERATOR (91212),0.88,0.12,0,0,0,34,49927
COMMUNITY ASSOCIATE (56057),0.4,0.6,0,0,0,10,49444.5
SCHOOL SAFETY AGENT (60817),0.29,0.7,0,0,0,5203,48745
HOSTLER (81901),0.58,0.42,0,0,0,19,47100
PARALEGAL AIDE (30080),0.62,0.38,0,0,0,8,46465
CLERICAL ASSOCIATE (10251),0.1,0.9,0,0,0,49,46141
PARKING CONTROL SPECIALIST (41120),0.85,0.15,0,0,0,13,45708
TRAFFIC ENFORCEMENT AGENT L3&4 (7165A),0.68,0.32,0,0,0,282,45385
STAFF ANALYST TRAINEE (12749),0.6,0.4,0,0,0,5,45123
INVESTIGATOR TRAINEE (31101),0.11,0.89,0,0,0,9,44778
MEDIA SERVICES TECHNICIAN (90622),0.79,0.21,0,0,0,24,44667.5
ASSOCIATE FINGERPRINT TECHNICIAN (71141),0.21,0.79,0,0,0,28,43097
POLICE ATTENDANT (90202),0.3,0.7,0,0,0,40,42757
TRAFFIC ENFORCEMENT AGENT Ll&2 (71651),0.59,0.41,0,0,0,2719,42377
POLICE ADMINISTRATIVE AIDE (10144),0.08,0.92,0,0,0,1272,42034
CLERICAL AIDE (10250),0.2,0.8,0,0,0,5,41064
STOCK WORKER (12200),0.82,0.18,0,0,0,28,40483
CUSTODIAN (80609),0.46,0.54,0,0,0,24,40006.5
AUTOMOTIVE SERVICE WORKER (92508),1,0,0,0,0,69,39919
*CUSTODIAL ASSISTANT (82015),1,0,0,0,0,7,37623
SCHOOL CROSSING GUARD (7020B),0.07,0.93,0,0,0,92,34626
PUBLIC HEALTH ASSISTANT (81805),0.2,0.8,0,0,0,15,32135
FINGERPRINT TECHNICIAN TRAINEE (71105),0.33,0.67,0,0,0,9,30459
