Ats System Code,Location Code,Location Name,Beds Number,Managed By Name,Location Type Description,School Type,Has A Kinder Garden,Has A Pre K,Grades At The School,Date The School Building Opened,Year The School Building Opened,Age of The School Building,X Coordinate,Y Coordinate,Community District,Council District,Census Tract,Borough Block Lot,NTA,Neighborhood,Principal Name,Geographical District Code,Admin District Location Code,Lat,Lon,Pre K Seats Available,Pre K Applicants,Pre K offers,Pre K Admissions Rate,Kindergarten Seats Available,Kindergarten Applicants,Kindergarten offers,Kindergarten Admissions Rate,Grade 6 Seats Available,Grade 6 Applicants,Grade 6 offers,Grade 6 Admissions Rate,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 offers,Grade 9 Admissions Rate, Pre K Total Enrollment Including Half Day And Full Day,Number of Female Students in Prek,Percentage of Female Students in Prek,Number of Male Students in Prek,Percentage of Male Students in Prek,Number of Asian Students in Prek,Percentage of Asian Students in Prek,Number of Black Students in Prek,Percentage of Black Students in Prek,Number of Hispanic Students in Prek,Percentage of Hispanic Students in Prek,Number of Students with a Race listed as Other in Prek,Percentage of Students with a Race listed as Other in Prek,Number of White Students in Prek,Percentage of White Students in Prek,Number of K Through 8 Students Who Passed The State English Language Arts Exams,Percentage of K Through 8 Students Who Passed The State English Language Arts Exams,Number of K Through 8 Students Who Passed The State Math Exam,Percentage of K Through 8 Students Who Passed The State Math Exam,Does the Schol Have A Gifted And Talented Program,Total Number of Removals and Suspensions,Kindergarten General Education Average Class Size,Kindergarten Integrated Co-Teaching And Gifted and Talented Average Class Size ,Kindergarten Gifted and Talented Average Class Size ,Kindergarten Integrated Co-Teaching Average Class Size ,Full Time Licensed Pe Teachers,Type of Physical Education Space,Is Physical Education Space Shared With Other Schools,Is the Physical Education Space Inside or Outside,Is Physical Education Space Space Used For Any Other Purpose Beside Physical Education,Does the School have an Auditorium,Does the School have a Library,"Total Number of Teachers, Administrators and Support Staff",Total Expense Budget,PTA Funding,PTA Funding Per Student,Total Enrollment,Number of Students In Grade K,Number of Students In Grade 1,Number of Students In Grade 2,Number of Students In Grade 3,Number of Students In Grade 4,Number of Students In Grade 5,Number of Students In Grade 6,Number of Students In Grade 7,Number of Students In Grade 8,Number of Students In Grade 9,Number of Students In Grade 10,Number of Students In Grade 11,Number of Students In Grade 12,Number of Female Students,Percentage of Female Students,Number of Male Students,Percentage of Male Students,Number of Asian Students,Percentage of Asian Students,Number of Black Students,Percentage of Black Students,Number of Hispanic Students,Percentage of Hispanic Students,Number of Multiple Race Categories Not Represented,Percentage of Multiple Race Categories Not Represented,Number of White Students,Percentage of White Students,Number of Students With Disabilities,Percentage of Students With Disabilities,Number of English Language Learners,Percentage of English Language Learners,Number of Students In Poverty,Percentage of  Students In Poverty,Economic Need Index,Average Daily Breakfast Participation,Average Daily Lunch Participation,Number of Salad Bars,Elementary Admissions Methods,Elementary School Admissions Methods Description,Does the School have a Gifted and Talented Program in Kindergarten,Did The School Make offers To Students Who Live Outside The Zone,Type of Dual Language Programs,Phone Number,Address,Number of Guidance Counselors,Number of Social Workers,Is the School Co Located,How Accessible is the School,All Four Arts Disciplines Provided to Grades 1 through 5
06M018,M018,P.S. 018 Park Terrace,311000000000,DOE,General Academic,K-8,YES,NO,"0K,01,02,03,04,05,06,07,08,SE",34038,1993,25,1008662,256785,112,10,29900,1022150824,MN01,Marble Hill-Inwood                                                         ,CONNIE MEJIA,6,M806,40.871456,-73.911732,No Pre K,No Pre K,No Pre K,No Pre K,25,64,29,45.31%,55,101,61,0.603960396,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,58,23.87%,63,25.40%,NO,0,17,0,0,0,1,GYMNASIUM,N,Inside,N,NO,NO,46.5,4207851,0,0,353,21,38,38,48,36,35,46,39,52,0,0,0,0,165,46.74%,188,53.26%,1,0.28%,7,1.98%,342,96.88%,0,0.00%,3,0.85%,74,20.96%,116,32.86%,327,92.63%,0.8884674311,110,285,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,NONE,917-521-2220,"4124 9 AVENUE, MANHATTAN NY 10034",1,0,NO,Partially Accessible,No
06M028,M028,P.S. 028 Wright Brothers,311000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",22098,1960,58,1000294,242268,112,7,23900,1021070026,MN36,Washington Heights South                                                   ,Awilda Baez,6,M806,40.83163,-73.942023,36,117,29,24.79%,125,188,113,60.11%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,34,16,47.06%,18,52.94%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,31,91.18%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,94,29.10%,115,35.17%,NO,33,18.25,0,0,17,1,GYMNASIUM,N,Inside,N,NO,NO,92.2,8280020,0,0,681,99,109,95,109,130,105,0,0,0,0,0,0,0,331,48.60%,350,51.40%,6,0.88%,95,13.95%,543,79.74%,7,1.03%,30,4.41%,176,25.84%,246,36.12%,627,92.07%,0.9497562647,350,555,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,SPANISH,212-690-3014,"475 WEST 155 STREET, MANHATTAN NY 10032",2,1,NO,Not Accessible,No
06M048,M048,P.S. 048 P.O. Michael J. Buczek,311000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",34151,1993,25,1002611,250126,112,10,27100,1021670029,MN35,Washington Heights North                                                   ,TRACY WALSH,6,M806,40.853193,-73.933629,36,118,36,30.51%,75,150,73,48.67%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,36,24,66.67%,12,33.33%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,34,94.44%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,65,24.90%,46,17.16%,NO,17,22.5,0,0,20,1,DANCE ROOM,Y,Inside,N,NO,NO,76,6499977,0,0,543,75,70,82,90,84,106,0,0,0,0,0,0,0,261,48.07%,282,51.93%,5,0.92%,6,1.10%,514,94.66%,2,0.37%,16,2.95%,135,24.86%,182,33.52%,511,94.11%,0.8717366457,499,504,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,SPANISH,917-521-3800,"4360-78 BROADWAY, MANHATTAN NY 10033",1,1,YES,Fully Accessible,No
06M098,M098,P.S. 098 Shorac Kappock,311000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",8949,1924,94,1006981,255430,112,10,30300,1022290012,MN01,Marble Hill-Inwood                                                         ,MARITZA RODRIGUEZ,6,M806,40.867741,-73.917814,82,134,67,50.00%,75,119,79,66.39%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,67,39,58.21%,28,41.79%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,61,91.04%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,52,25.62%,54,26.09%,NO,18,19.33333,0,0,0,1,MULTI-PURPOSE CLASSROOM,N,Inside,Y,NO,NO,69,7163314,0,0,469,58,59,66,71,68,80,0,0,0,0,0,0,0,220,46.91%,249,53.09%,0,0.00%,9,1.92%,439,93.60%,4,0.85%,17,3.62%,74,15.78%,163,34.75%,423,90.19%,0.8730469346,398,430,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,SPANISH,212-927-7870,"512 WEST 212 STREET, MANHATTAN NY 10034",1,0,NO,Partially Accessible,No
06M103,M103,Dos Puentes Elementary School,311000000000,DOE,General Academic,Elementary,YES,NO,"0K,01,02,03,04,SE",41456,2013,5,1002519,249167,112,10,27100,1021650026,MN35,Washington Heights North                                                   ,Victoria Hunt,6,M806,40.850561,-73.933964,No Pre K,No Pre K,No Pre K,No Pre K,75,332,53,15.96%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,48,42.11%,43,37.72%,NO,0,23.5,0,0,24,1,DANCE ROOM,Y,Inside,N,NO,NO,48,4276902,0,0,351,71,78,75,66,61,0,0,0,0,0,0,0,0,174,49.57%,177,50.43%,2,0.57%,6,1.71%,273,77.78%,3,0.85%,67,19.09%,85,24.22%,114,32.48%,243,69.23%,0.6720455885,48,234,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Zoned Waitlist,SPANISH,212-781-1803,"185 WADSWORTH AVENUE, MANHATTAN NY 10033",0,1,YES,Not Accessible,Yes
06M115,M115,P.S. 115 Alexander Humboldt,311000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",5296,1914,104,1002195,247547,112,10,26100,1021330040,MN36,Washington Heights South                                                   ,Boris Consuegra,6,M806,40.846116,-73.93514,36,126,36,28.57%,75,119,77,64.71%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,34,13,38.24%,21,61.76%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,30,88.24%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,62,29.25%,NO,10,20.33333,0,0,0,1,DANCE ROOM,Y,Inside,N,NO,NO,57.2,6532995,0,0,475,66,78,68,81,85,63,0,0,0,0,0,0,0,245,51.58%,230,48.42%,1,0.21%,8,1.68%,449,94.53%,2,0.42%,15,3.16%,86,18.11%,146,30.74%,459,96.63%,0.9384715557,233,425,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,212-927-9233,"586 WEST 177 STREET, MANHATTAN NY 10033",1,1,YES,Not Accessible,No
06M128,M128,P.S. 128 Audubon,311000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",22463,1961,57,1001211,245694,112,10,25100,1021250001,MN36,Washington Heights South                                                   ,ROSA ARGEL ARREDONDO,6,M806,40.841032,-73.938701,90,189,57,30.16%,100,220,79,35.91%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,70,39,55.71%,31,44.29%,6,8.57%,suppressed for privacy concerns,suppressed for privacy concerns,54,77.14%,suppressed for privacy concerns,suppressed for privacy concerns,8,11.43%,61,26.18%,75,31.38%,NO,51,19.5,0,0,0,1,MULTI-PURPOSE ROOM,Y,Inside,Y,NO,NO,77,7566456,0,0,586,85,96,89,85,93,68,0,0,0,0,0,0,0,286,48.81%,300,51.19%,11,1.88%,9,1.54%,551,94.03%,4,0.68%,11,1.88%,113,19.28%,145,24.74%,547,93.34%,0.8529078364,154,471,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,SPANISH,212-927-0607,"560 WEST 169 STREET, MANHATTAN NY 10032",1,1,YES,Partially Accessible,Yes
06M132,M132,P.S. 132 Juan Pablo Duarte,311000000000,DOE,General Academic,Elementary,YES,NO,"0K,01,02,03,04,05,SE",2009,1905,113,1002519,249167,112,10,27100,1021650026,MN35,Washington Heights North                                                   ,XIOMARA NOVA,6,M806,40.850561,-73.933964,No Pre K,No Pre K,No Pre K,No Pre K,50,87,28,32.18%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,45,28.30%,50,30.49%,NO,17,20,0,0,15,1,DANCE ROOM,Y,Inside,N,NO,NO,46,5194277,0,0,305,38,43,49,49,58,68,0,0,0,0,0,0,0,144,47.21%,161,52.79%,0,0.00%,7,2.30%,295,96.72%,2,0.66%,1,0.33%,73,23.93%,155,50.82%,265,86.89%,0.9090787172,120,267,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,SPANISH,212-927-7857,"185 WADSWORTH AVENUE, MANHATTAN NY 10033",1,0,YES,Not Accessible,Yes
06M152,M152,P.S. 152 Dyckman Valley,311000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",10410,1928,90,1004283,252536,112,10,28300,1021730001,MN35,Washington Heights North                                                   ,JULIA PIETRI,6,M806,40.859804,-73.927578,72,120,67,55.83%,100,131,94,71.76%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,58,28,48.28%,30,51.72%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,56,96.55%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,72,27.48%,80,29.74%,NO,9,17.33333,0,0,14,1,MULTI-PURPOSE NON CLASSROOM,N,Inside,Y,NO,NO,73,7799351,0,0,572,68,82,85,100,91,88,0,0,0,0,0,0,0,270,47.20%,302,52.80%,1,0.17%,11,1.92%,551,96.33%,2,0.35%,7,1.22%,126,22.03%,165,28.85%,558,97.55%,0.9274702668,393,438,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,212-567-5456,"93 NAGLE AVENUE, MANHATTAN NY 10040",1,2,NO,Partially Accessible,No
06M153,M153,P.S. 153 Adam Clayton Powell,311000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",27576,1975,43,998752,240403,109,7,23300,1020780019,MN04,Hamilton Heights                                                           ,KAREN BAILEY,6,M806,40.826514,-73.947599,54,111,54,48.65%,75,201,107,53.23%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,48,20,41.67%,28,58.33%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,38,79.17%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,88,34.51%,93,35.91%,YES,Redacted for privacy concerns,18.5,0,16,20,0,DANCE ROOM,Y,Inside,N,NO,NO,57,5878640,0,0,589,73,85,104,95,95,89,0,0,0,0,0,0,0,295,50.08%,294,49.92%,13,2.21%,102,17.32%,441,74.87%,9,1.53%,24,4.07%,80,13.58%,172,29.20%,545,92.53%,0.8717487454,174,500,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",Yes,N,SPANISH,212-927-8611,"1750 AMSTERDAM AVENUE, MANHATTAN NY 10031",1,3,YES,Partially Accessible,No
06M173,M173,P.S. 173,311000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",9679,1926,92,1000910,247307,112,10,26300,1021420154,MN36,Washington Heights South                                                   ,RACHAEL GARCIA,6,M806,40.845459,-73.939785,72,173,70,40.46%,75,168,76,45.24%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,59,36,61.02%,23,38.98%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,54,91.53%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,83,38.79%,70,32.11%,NO,Redacted for privacy concerns,18.5,0,0,19,1,DANCE ROOM,Y,Inside,N,NO,NO,61.5,5856294,0,0,489,62,67,80,67,73,81,0,0,0,0,0,0,0,238,48.67%,251,51.33%,15,3.07%,12,2.45%,447,91.41%,2,0.41%,13,2.66%,87,17.79%,60,12.27%,441,90.18%,0.7939816117,141,347,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,212-927-7850,"306 FORT WASHINGTON AVENUE, MANHATTAN NY 10033",2,1,YES,Partially Accessible,No
06M178,M178,Professor Juan Bosch Public School,311000000000,DOE,General Academic,Elementary,YES,NO,"0K,01,02,03,04,05,SE",37073,2001,17,1004083,252330,112,10,28300,1021710036,MN35,Washington Heights North                                                   ,DEIRDRE BUDD,6,M806,40.85924,-73.928301,No Pre K,No Pre K,No Pre K,No Pre K,58,235,43,18.30%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,57,43.18%,73,54.89%,NO,0,16,0,0,18,1,GYMNASIUM,N,Inside,N,NO,NO,49,4608549,0,0,292,50,51,40,51,42,58,0,0,0,0,0,0,0,136,46.58%,156,53.42%,3,1.03%,5,1.71%,243,83.22%,4,1.37%,37,12.67%,66,22.60%,27,9.25%,213,72.95%,0.6824143529,69,229,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,SPANISH,212-569-0327,"12-18 ELLWOOD STREET, MANHATTAN NY 10040",0,2,NO,Fully Accessible,No
06M187,M187,P.S./I.S. 187 Hudson Cliffs,311000000000,DOE,General Academic,K-8,YES,YES,"PK,0K,01,02,03,04,05,06,07,08,SE",11140,1930,88,1001722,251235,112,10,27300,1021790365,MN35,Washington Heights North                                                   ,CYNTHIA CHORY,6,M806,40.856239,-73.93684,18,214,18,8.41%,96,343,108,31.49%,97,476,101,0.212184874,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,18,11,61.11%,7,38.89%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,9,50.00%,310,61.14%,231,52.26%,NO,Redacted for privacy concerns,22,0,0,0,1,GYMNASIUM,N,Inside,N,NO,NO,76,6708814,40000,50.06257822,799,87,79,80,84,75,93,83,97,103,0,0,0,0,408,51.06%,391,48.94%,34,4.26%,27,3.38%,414,51.81%,33,4.13%,291,36.42%,140,17.52%,38,4.76%,336,42.05%,0.4214255214,65,338,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,212-927-8218,"349 CABRINI BOULEVARD, MANHATTAN NY 10040",2,0,NO,Not Accessible,No
06M189,M189,P.S. 189,311000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",8583,1923,95,1004155,250073,112,10,27700,1021590051,MN35,Washington Heights North                                                   ,ROSALINA PEREZ,6,M806,40.853045,-73.928048,64,146,64,43.84%,100,161,111,68.94%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,65,34,52.31%,31,47.69%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,62,95.38%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,162,42.30%,122,30.96%,NO,20,22.25,0,0,0,1,MULTI-PURPOSE NON CLASSROOM,N,Inside,Y,NO,NO,100,10028685,0,0,813,96,115,120,161,140,116,0,0,0,0,0,0,0,415,51.05%,398,48.95%,5,0.62%,8,0.98%,777,95.57%,2,0.25%,21,2.58%,146,17.96%,226,27.80%,754,92.74%,0.875108242,678,516,2,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,NONE,212-927-8303,"2580 AMSTERDAM AVENUE, MANHATTAN NY 10040",2,1,NO,Partially Accessible,No
06M192,M192,P.S. 192 Jacob H. Schiff,311000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",19176,1952,66,997529,238215,109,7,22301,1019880200,MN06,Manhattanville                                                             ,Hilduara Abreu,6,M806,40.82051,-73.952023,46,99,45,45.45%,75,103,84,81.55%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,47,25,53.19%,22,46.81%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,43,91.49%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,55,29.89%,55,29.57%,NO,8,18,0,0,0,1,GYMNASIUM,Y,Inside,N,NO,NO,55,5823652,0,0,439,59,66,59,54,78,76,0,0,0,0,0,0,0,219,49.89%,220,50.11%,3,0.68%,43,9.79%,383,87.24%,1,0.23%,9,2.05%,88,20.05%,139,31.66%,416,94.76%,0.8728587627,82,347,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,NONE,212-281-8395,"500 WEST 138 STREET, MANHATTAN NY 10031",0,2,YES,Partially Accessible,No
06M210,M210,P.S./I.S. 210 - Twenty-first Century Academy for C,311000000000,DOE,General Academic,K-8,YES,YES,"PK,0K,01,02,03,04,05,06,07,08,SE",35646,1997,21,999563,241675,109,7,23700,1020840129,MN04,Hamilton Heights                                                           ,EVELYN LINARES,6,M806,40.830004,-73.944666,18,98,18,18.37%,50,177,30,16.95%,57,152,47,0.309210526,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,18,10,55.56%,8,44.44%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,18,100.00%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,118,45.74%,126,48.46%,NO,Redacted for privacy concerns,22,0,0,21,1,GYMNASIUM,N,Inside,N,NO,NO,49,4876212,0,0,419,43,47,46,36,42,35,45,59,48,0,0,0,0,218,52.03%,201,47.97%,2,0.48%,10,2.39%,406,96.90%,1,0.24%,0,0.00%,92,21.96%,150,35.80%,384,91.65%,0.8674653769,163,379,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,SPANISH,212-283-0012,"501-503 WEST 152 STREET, MANHATTAN NY 10031",1,0,NO,Fully Accessible,No
06M278,M278,Paula Hedbavny School,311000000000,DOE,General Academic,K-8,YES,NO,"0K,01,02,03,04,05,06,07,08,SE",38238,2004,14,1008494,256864,112,10,29900,1022150831,MN01,Marble Hill-Inwood                                                         ,LILLIAN REYES,6,M806,40.871673,-73.912339,No Pre K,No Pre K,No Pre K,No Pre K,50,194,66,34.02%,65,280,73,0.260714286,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,206,54.35%,190,50.53%,NO,14,24.5,0,0,0,1,No Data,No Data,No Data,No Data,NO,NO,52.5,4462961,0,0,559,49,53,60,63,64,62,74,69,65,0,0,0,0,296,52.95%,263,47.05%,12,2.15%,11,1.97%,441,78.89%,6,1.07%,89,15.92%,109,19.50%,85,15.21%,373,66.73%,0.6033649445,33,230,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,NONE,917-521-2060,"421 W 219TH ST, MANHATTAN NY 10034",1,0,NO,Partially Accessible,No
06M311,M311,Amistad Dual Language School,311000000000,DOE,General Academic,K-8,YES,NO,"0K,01,02,03,04,05,06,07,08,SE",38238,2004,14,1005321,254933,112,10,29100,1022340007,MN01,Marble Hill-Inwood                                                         ,ROBIN EDMONDS,6,M806,40.866381,-73.923818,No Pre K,No Pre K,No Pre K,No Pre K,50,189,37,19.58%,51,178,45,0.252808989,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,126,49.22%,94,36.29%,NO,Redacted for privacy concerns,25,0,0,24,1,GYMNASIUM,Y,Inside,N,NO,NO,47,4069671,0,0,395,49,37,47,49,42,43,49,43,36,0,0,0,0,209,52.91%,186,47.09%,6,1.52%,6,1.52%,363,91.90%,3,0.76%,17,4.30%,52,13.16%,100,25.32%,320,81.01%,0.7561113834,38,257,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,SPANISH,212-544-8021,"4862 BROADWAY, MANHATTAN NY 10034",1,0,YES,Fully Accessible,No
06M314,M314,Muscota,311000000000,DOE,General Academic,Elementary,YES,NO,"0K,01,02,03,04,05",38072,2004,14,1005321,254933,112,10,29100,1022340007,MN01,Marble Hill-Inwood                                                         ,Camille Wallin,6,M806,40.866381,-73.923818,No Pre K,No Pre K,No Pre K,No Pre K,50,434,46,10.60%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,96,76.19%,93,74.40%,NO,Redacted for privacy concerns,24.5,0,0,0,1,GYMNASIUM,Y,Inside,N,NO,NO,34,3110165,9000,30.82191781,292,49,51,51,47,48,46,0,0,0,0,0,0,0,149,51.03%,143,48.97%,13,4.45%,6,2.05%,127,43.49%,21,7.19%,125,42.81%,44,15.07%,18,6.16%,74,25.34%,0.3892876804,55,149,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,212-544-0614,"4862 BROADWAY, MANHATTAN NY 10034",0.6,0,YES,Fully Accessible,Yes
06M348,M348,Washington Heights Expeditionary Learning School,311000000000,DOE,General Academic,K-12 all grades,YES,YES,"PK,0K,01,02,03,06,07,08,09,10,11,12,SE",38899,2006,12,1003342,248712,112,10,26900,1021550035,MN35,Washington Heights North                                                   ,Thomas Rochowicz,6,HS12,40.849311,-73.930991,36,226,36,15.93%,50,270,40,14.81%,90,363,115,0.316804408,81,576,90,0.15625,31,15,48.39%,16,51.61%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,20,64.52%,suppressed for privacy concerns,suppressed for privacy concerns,10,32.26%,97,34.15%,23,9.24%,NO,37,17,0,0,20,0,MULTI-PURPOSE CLASSROOM,Y,Inside,Y,NO,NO,90,8302473,0,0,815,37,36,32,38,0,0,84,87,87,94,108,95,86,375,46.01%,440,53.99%,7,0.86%,28,3.44%,747,91.66%,5,0.61%,28,3.44%,168,20.61%,126,15.46%,622,76.32%,0.8322834373,122,274,2,Non-Zoned,No preference for kids who live in the zone,No,No Data,SPANISH,212-781-0524,"511 WEST 182ND STREET, MANHATTAN NY 10033",0,4,YES,Partially Accessible,No
06M366,M366,Washington Heights Academy,311000000000,DOE,General Academic,K-8,YES,YES,"PK,0K,01,02,03,04,05,06,07,08,SE",39264,2007,11,1005926,254640,112,10,29300,1022260041,MN01,Marble Hill-Inwood                                                         ,Renzo Martinez,6,M806,40.865575,-73.921631,54,223,54,24.22%,50,241,46,19.09%,60,387,66,0.170542636,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,51,28,54.90%,23,45.10%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,47,92.16%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,187,69.00%,176,66.92%,NO,8,25.5,0,0,0,0,MULTI-PURPOSE CLASSROOM,N,Inside,Y,NO,NO,57,5554027,0,0,571,51,59,59,60,63,53,64,56,55,0,0,0,0,312,54.64%,259,45.36%,11,1.93%,10,1.75%,536,93.87%,4,0.70%,10,1.75%,89,15.59%,73,12.78%,511,89.49%,0.8098686337,148,385,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,212-304-3320,"202 SHERMAN AVE, MANHATTAN NY 10034",1,0,NO,Fully Accessible,No
