Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
Cyber Center Upgrade at Astoria Library,District 22  Costa Constantinides,"Arts, Culture & Community Facilities",Cyber Center Upgrade at Astoria Library,,500000,b,,,,500000
Vanderbilt Motor Parkway Resurfacing,District 23  Barry Grodenchik,Parks & Recreation,Vanderbilt Motor Parkway Resurfacing,,500000,b,,,,500000
New Audio Visual Systems,District 23  Barry Grodenchik,Education,New Audio Visual Systems,,375000,b,,,,375000
New Gym Floor for Martin Van Buren High School,District 23  Barry Grodenchik,Education,New Gym Floor for Martin Van Buren High School,,100000,b,,,,100000
Technology Upgrades for Local Schools,District 23  Barry Grodenchik,Education,Technology Upgrades for Local Schools,,548000,b,,,,548000
Upgrades at Hollis and Queens Village Libraries,District 23  Barry Grodenchik,"Arts, Culture & Community Facilities",Upgrades at Hollis and Queens Village Libraries,,550000,b,,,,550000
Dutch Kills Pedestrian Safety,District 26  Jimmy Van Bramer,Transit,Dutch Kills Pedestrian Safety,,300000,b,,,,300000
BBQ Area Picnic Tables,District 26  Jimmy Van Bramer,Parks & Recreation,BBQ Area Picnic Tables,,300000,b,,,,300000
Hunter's Point South Park Playground Canopy,District 26  Jimmy Van Bramer,Parks & Recreation,Hunter's Point South Park Playground Canopy,,500000,b,,,,500000
Median Tree Planting,District 26  Jimmy Van Bramer,Parks & Recreation,Median Tree Planting,,100000,b,,,,100000
Renovation of Dutch Kills Playground,District 26  Jimmy Van Bramer,Parks & Recreation,Renovation of Dutch Kills Playground,,300000,b,,,,300000
Basketball Court Renovations,District 26  Jimmy Van Bramer,Housing,Basketball Court Renovations,,350000,b,,,,350000
Grounds Renovation for Queensbridge Houses,District 26  Jimmy Van Bramer,Housing,Grounds Renovation for Queensbridge Houses,,300000,b,,,,300000
Grounds Renovation for Woodside Houses,District 26  Jimmy Van Bramer,Housing,Grounds Renovation for Woodside Houses,,300000,b,,,,300000
Grounds Renovations for Ravenswood Houses,District 26  Jimmy Van Bramer,Housing,Grounds Renovations for Ravenswood Houses,,300000,b,,,,300000
Auditorium Repairs for Aviation High School,District 26  Jimmy Van Bramer,Education,Auditorium Repairs for Aviation High School,,450000,b,,,,450000
Auditorium Seating for P.S. 111,District 26  Jimmy Van Bramer,Education,Auditorium Seating for P.S. 111,,100000,b,,,,100000
Auditorium Upgrade for I.S. 204 & Energy Tech H.S.,District 26  Jimmy Van Bramer,Education,Auditorium Upgrade for I.S. 204 & Energy Tech H.S.,,200000,b,,,,200000
Auditorium Upgrade for P.S. 166,District 26  Jimmy Van Bramer,Education,Auditorium Upgrade for P.S. 166,,300000,b,,,,300000
Bathroom Repair,District 26  Jimmy Van Bramer,Education,Bathroom Repair,,50000,b,,,,50000
Playground Upgrade for P.S. 112,District 26  Jimmy Van Bramer,Education,Playground Upgrade for P.S. 112,,500000,b,,,,500000
Queens Atrium Educational Hub - Wi-fi Network,District 26  Jimmy Van Bramer,Education,Queens Atrium Educational Hub - Wi-fi Network,,75000,b,,,,75000
Special Needs Playground for P4 at Skillman,District 26  Jimmy Van Bramer,Education,Special Needs Playground for P4 at Skillman,,250000,b,,,,250000
Split System (AC) for I.S. 204 & Energy Tech H.S.,District 26  Jimmy Van Bramer,Education,Split System (AC) for I.S. 204 & Energy Tech H.S.,,350000,b,,,,350000
Tech Upgrades PS 150 & Academy of American Studies,District 26  Jimmy Van Bramer,Education,Tech Upgrades PS 150 & Academy of American Studies,,210000,b,,,,210000
Broadway Library Security System Upgrade,District 26  Jimmy Van Bramer,"Arts, Culture & Community Facilities",Broadway Library Security System Upgrade,,132000,b,,,,132000
Court Square Library Security System Upgrade,District 26  Jimmy Van Bramer,"Arts, Culture & Community Facilities",Court Square Library Security System Upgrade,,66000,b,,,,66000
New Laptops for Five Schools,District 27  I. Daneek Miller,Youth,New Laptops for Five Schools,,225000,b,,,,225000
P.S. 15 Gymnasium Upgrade,District 27  I. Daneek Miller,Youth,P.S. 15 Gymnasium Upgrade,,150000,b,,,,150000
P.S./M.S. 147 Gymnasium Upgrade,District 27  I. Daneek Miller,Youth,P.S./M.S. 147 Gymnasium Upgrade,,150000,b,,,,150000
Smartboards for I.S 238 - Susan B. Anthony Academy,District 27  I. Daneek Miller,Youth,Smartboards for I.S 238 - Susan B. Anthony Academy,,125000,b,,,,125000
Student Bathroom Renovations at I.S. 192,District 27  I. Daneek Miller,Youth,Student Bathroom Renovations at I.S. 192,,400000,b,,,,400000
Technology Upgrades for P.S./M.S. 147,District 27  I. Daneek Miller,Youth,Technology Upgrades for P.S./M.S. 147,,70000,b,,,,70000
Tennis Court at I.S 238 - Susan B. Anthony Academy,District 27  I. Daneek Miller,Youth,Tennis Court at I.S 238 - Susan B. Anthony Academy,,250000,b,,,,250000
Security Cameras in District 27,District 27  I. Daneek Miller,Streets,Security Cameras in District 27,,70000,b,,,,70000
Haggerty Park Greenery,District 27  I. Daneek Miller,Parks & Recreation,Haggerty Park Greenery,,300000,b,,,,300000
Adaptive Special Needs Playground Equipment,District 27  I. Daneek Miller,Education,Adaptive Special Needs Playground Equipment,,600000,b,,,,600000
"Conversion of School Auditorium to a ""Gymnatorium""",District 27  I. Daneek Miller,Education,"Conversion of School Auditorium to a ""Gymnatorium""",,400000,b,,,,400000
School Auditorium Multimedia Upgrade,District 27  I. Daneek Miller,Education,School Auditorium Multimedia Upgrade,,100000,b,,,,100000
STEM/ STEAM Mobile Science Carts for Eight Schools,District 27  I. Daneek Miller,Education,STEM/ STEAM Mobile Science Carts for Eight Schools,,294000,b,,,,294000
Bus Pads,District 29  Karen Koslowitz,Transit,Bus Pads,,520000,b,,,,520000
Bus Trackers,District 29  Karen Koslowitz,Transit,Bus Trackers,,160000,b,,,,160000
A Safer Intersection at 71st Ave and Austin St,District 29  Karen Koslowitz,Streets,A Safer Intersection at 71st Ave and Austin St,,400000,b,,,,400000
Adult Workout Stations in Russell Sage Playground,District 29  Karen Koslowitz,Parks & Recreation,Adult Workout Stations in Russell Sage Playground,,250000,b,,,,250000
"Lights, Camera, Action",District 29  Karen Koslowitz,Education,"Lights, Camera, Action",,300000,b,,,,300000
More Cool at School,District 29  Karen Koslowitz,Education,More Cool at School,,800000,b,,,,800000
Power Up,District 29  Karen Koslowitz,Education,Power Up,,550000,b,,,,550000
Proper Pupil Potties,District 29  Karen Koslowitz,Education,Proper Pupil Potties,,350000,b,,,,350000
Outdoor Reading Room,District 29  Karen Koslowitz,"Arts, Culture & Community Facilities",Outdoor Reading Room,,275000,b,,,,275000
Basketball Court Renovations at Little Bush Park,District 30  Elizabeth Crowley,Parks & Recreation,Basketball Court Renovations at Little Bush Park,,250000,b,,,,250000
Children's Swing Area Renovation,District 30  Elizabeth Crowley,Parks & Recreation,Children's Swing Area Renovation,,200000,b,,,,200000
Playground Beautification at Little Bush Park,District 30  Elizabeth Crowley,Parks & Recreation,Playground Beautification at Little Bush Park,,100000,b,,,,100000
Air Conditioning Renovation at I.S. 73,District 30  Elizabeth Crowley,Education,Air Conditioning Renovation at I.S. 73,,350000,b,,,,350000
Auditorium Seat Replacement,District 30  Elizabeth Crowley,Education,Auditorium Seat Replacement,,786750,b,,,,786750
Laptop Carts for Classrooms,District 30  Elizabeth Crowley,Education,Laptop Carts for Classrooms,,280000,b,,,,280000
Operation Restroom Renovation,District 30  Elizabeth Crowley,Education,Operation Restroom Renovation,,420000,b,,,,420000
Smart Boards for Schools,District 30  Elizabeth Crowley,Education,Smart Boards for Schools,,250000,b,,,,250000
