Title and Code,Ratio of Median Salary Women,Ratio of Median Salary Men,Median Salary,percent women,percent men,median salary Women,median salary Men
POLICE OFFICER DET. SPECIALIST (70210),16545,80779,97324,0.17,0.83,16545.08,80778.92
SHEET METAL WORKER (92340),0,98274,98274,0,1,0,98274.33
STEAM FITIER (91925),0,100485,100485,0,1,0,100485
RADIO REPAIR MECHANIC (90733),0,102208,102208,0,1,0,102207.6
ELECTRICIAN (91717),0,106953,106953,0,1,0,106952.58
POLICE OFFICER OJA DETECTIVE (70218),16404,92956,109360,0.15,0.85,16404,92956
SERGEANT (RECURRING NIGHT SHIFT) (70235),18591,90769,109360,0.17,0.83,18591.2,90768.8
SUPERVISOR OF MECHANICS (MECHAN (92575),0,112821,112821,0,1,0,112821
OILER (91628),0,119371,119371,0,1,0,119370.96
LIEUTENANT (POLICE) (RECUR NS) (70260),15064,110467,125531,0.12,0.88,15063.72,110467.28
POLICE OFFICER OJA DETECTIVE 1 (7021C),11298,114233,125531,0.09,0.91,11297.79,114233.21
SERGEANT D/A SPECIAL ASSIGNMENT (7023A),27617,97914,125531,0.22,0.78,27616.82,97914.18
SERGEANT D/A SUPERVISOR DETECTIVE (70238),13808,111723,125531,0.11,0.89,13808.41,111722.59
STATIONARY ENGINEER (91644),0,127034,127034,0,1,0,127033.92
MANAGER OF RADIO REPAIR OPERAT (8298E),0,133191,133191,0,1,0,133191
LIEUTENANT D/A COMMANDER OF DE (70268),4143,133946,138089,0.03,0.97,4142.67,133946.33
LIEUTENANT D/A SPECIAL ASSIGNM (7026A),23475,114614,138089,0.17,0.83,23475.13,114613.87
EXECUTIVE AGENCY COUNSEL (95005),79002,70058,149060,0.53,0.47,79001.535,70057.965
COMPUTER OPERATIONS MANAGER (10074),0,152261,152261,0,1,0,152261
CAPTAIN (POLICE SERVICE)(REC	N) (70265),14711,148743,163454,0.09,0.91,14710.86,148743.14
CAPTAIN D/A DEPUTY INSPECTOR (70260),17206,154852,172058,0.1,0.9,17205.8,154852.2
CAPTAIN D/A INSPECTOR (REC N/S (7026E),12682,168490,181172,0.07,0.93,12682.04,168489.96
